NO.,Var,dtypes,description,Var Category
215,CD164,Numeric,SERVICE_OUT_CALLS_3MON,Call Detail
216,CD165,Numeric,SERVICE_IN_CALLS_3MON,Call Detail
217,CD166,Numeric,SVC_CALL1MON,Call Detail
218,CD167,Numeric,SERVICE_OUT_CALLS_1MON,Call Detail
219,CD168,Numeric,SERVICE_IN_CALLS_1MON,Call Detail
220,CD169,Numeric,SVC_CALL2MON,Call Detail
221,CD170,Numeric,SERVICE_OUT_CALLS_2MON,Call Detail
222,CD171,Numeric,SERVICE_IN_CALLS_2MON,Call Detail
223,CD172,Numeric,SVC_CALL3MON,Call Detail
224,CD173,Numeric,SERVICE_OUT_CALLS_3MON,Call Detail
225,CD174,Numeric,SERVICE_IN_CALLS_3MON,Call Detail
226,CD175,Numeric,TOP3_FREQUENT_PHONE_NUMBERS_IN_CONTACT_BOOK_3MON,Call Detail
227,CD176,Numeric,TOP5_FREQUENT_PHONE_NUMBERS_IN_CONTACT_BOOK_3MON,Call Detail
228,CD177,Numeric,TOP10_FREQUENT_PHONE_NUMBERS_IN_CONTACT_BOOK_3MON,Call Detail
229,CD178,Numeric,TOP15_FREQUENT_PHONE_NUMBERS_IN_CONTACT_BOOK_3MON,Call Detail
230,PA001,Numeric,ION_OR_HIGH_RISK_ORG,Call Detail
231,PA002,Numeric,ION_ORG,Call Detail
232,PA003,Numeric,HIGH_RISK_ORG,Call Detail
233,PA004,Numeric,ION_OR_HIGH_RISK_IN_CALLS,Call Detail
234,PA005,Numeric,ION_IN_CALLS,Call Detail
235,PA006,Numeric,HIGH_RISK_IN_CALLS,Call Detail
236,PA007,Numeric,ION_OR_HIGH_RISK_IN_CALLS,Call Detail
237,PA008,Numeric,ION_IN_CALLS,Call Detail
238,PA009,Numeric,HIGH_RISK_IN_CALLS,Call Detail
239,PA010,Numeric,ION_OR_HIGH_RISK_OUT_CALLS,Call Detail
240,PA011,Numeric,ION_OUT_CALLS,Call Detail
241,PA012,Numeric,HIGH_RISK_OUT_CALLS,Call Detail
242,PA013,Numeric,ION_OR_HIGH_RISK_OUT_CALLS,Call Detail
243,PA014,Numeric,ION_OUT_CALLS,Call Detail
244,PA015,Numeric,HIGH_RISK_OUT_CALLS,Call Detail
245,PA016,Numeric,ION_OR_HIGH_RISK_CALLS,Call Detail
246,PA017,Numeric,ION_CALLS,Call Detail
247,PA018,Numeric,HIGH_RISK_CALLS,Call Detail
248,PA019,Numeric,ION_OR_HIGH_RISK_CALLS,Call Detail
249,PA020,Numeric,ION_CALLS,Call Detail
250,PA021,Numeric,HIGH_RISK_CALLS,Call Detail
251,PA022,Numeric,DAYS_BTW_APPLICATION_AND_FIRST_ION_OR_HIGH_RISK_CALL,Call Detail
252,PA023,Numeric,DAYS_BTW_APPLICATION_AND_FIRST_ION_CALL,Call Detail
253,PA024,Numeric,DAYS_BTW_APPLICATION_AND_FIRST_HIGH_RISK_CALL,Call Detail
254,PA025,Numeric,DAYS_BTW_APPLICATION_AND_ION_OR_HIGH_RISK_CALL,Call Detail
255,PA026,Numeric,DAYS_BTW_APPLICATION_AND_ION_CALL,Call Detail
256,PA027,Numeric,DAYS_BTW_APPLICATION_AND_HIGH_RISK_CALL,Call Detail
257,PA028,Numeric,AVG_ION_OR_HIGH_RISK_CALLS,Call Detail
258,PA029,Numeric,AVG_ION_OR_HIGH_RISK_IN_CALLS,Call Detail
